id,soil_type,fertilizer_type,climate,humidity_level,pest_disease_management,plant_time,crop_harvested,water_temperature,harvest_colour,seed_supplier,season,distance_to_retailer,harvest_yield
167,Clay,Organic,Arid,80,Chemical Control - Synthetic Pesticides,Early Summer,Corn,30C,Overdone,FarmGrow Inc.,Autumn,132km,72%
168,Saline,Chemical,Arid,74,Chemical Control - Organic Pesticides,Late Summer,Wheat,33C,Medium-Well,FarmGrow Inc.,Summer,134km,75%
169,Sandy,Compost,Temperate,65,Chemical Control - Synthetic Pesticides,Early Summer,Corn,26C,Overdone,CropLife Solutions,Autumn,130km,93%
170,Clay,Chemical,Temperate,83,Biological Control - Predatory Insects,Late Spring,Potato,33C,Medium-Rare,FarmGrow Inc.,Winter,131km,82%
171,Loamy,Compost,Tropical,62,Integrated Pest Management,Early Spring,Lettuce,22C,Well-Done,GreenFields,Autumn,131km,70%
172,Clay,Compost,Tropical,67,Chemical Control - Synthetic Pesticides,Early Spring,Tomato,26C,Rare,CropLife Solutions,Winter,133km,64%
173,Loamy,Organic,Arid,68,Biological Control - Predatory Insects,Early Summer,Wheat,31C,Medium-Well,CropLife Solutions,Spring,130km,79%
174,Sandy,Chemical,Arid,68,Chemical Control - Organic Pesticides,Late Spring,Carrot,30C,Medium-Well,CropLife Solutions,Winter,134km,84%
175,Saline,Organic,Tropical,66,Integrated Pest Management,Early Spring,Corn,24C,Rare,AgriSeeds Co.,Summer,132km,80%
176,Saline,Organic,Arid,67,Biological Control - Predatory Insects,Winter,Lettuce,33C,Rare,GreenFields,Winter,134km,88%
177,Saline,Organic,Tropical,80,Chemical Control - Synthetic Pesticides,Late Summer,Corn,23C,Well-Done,GreenFields,Winter,128km,66%
178,Sandy,Organic,Tropical,65,Biological Control - Predatory Insects,Late Spring,Corn,29C,Rare,AgriSeeds Co.,Spring,133km,85%
179,Sandy,Chemical,Arid,73,Integrated Pest Management,Early Summer,Tomato,27C,Rare,CropLife Solutions,Summer,134km,57%
180,Sandy,Chemical,Arid,85,Chemical Control - Synthetic Pesticides,Early Summer,Potato,34C,Rare,AgriSeeds Co.,Autumn,134km,88%
181,Clay,Organic,Tropical,64,Chemical Control - Organic Pesticides,Early Summer,Corn,24C,Overdone,FarmGrow Inc.,Summer,132km,38%
182,Loamy,Chemical,Arid,68,Integrated Pest Management,Winter,Corn,26C,Well-Done,FarmGrow Inc.,Spring,134km,77%
183,Sandy,Chemical,Tropical,79,Chemical Control - Organic Pesticides,Early Summer,Corn,30C,Medium-Rare,CropLife Solutions,Spring,134km,74%
184,Saline,Compost,Tropical,72,Chemical Control - Synthetic Pesticides,Early Summer,Lettuce,24C,Rare,CropLife Solutions,Autumn,129km,52%
185,Clay,Organic,Temperate,79,Biological Control - Predatory Insects,Autumn,Lettuce,25C,Medium-Well,FarmGrow Inc.,Summer,134km,53%
186,Clay,Chemical,Arid,63,Chemical Control - Synthetic Pesticides,Late Summer,Tomato,20C,Medium,GreenFields,Spring,131km,89%
187,Sandy,Organic,Tropical,80,Chemical Control - Synthetic Pesticides,Late Spring,Tomato,30C,Well-Done,GreenFields,Autumn,133km,95%
188,Loamy,Compost,Temperate,79,Biological Control - Predatory Insects,Late Spring,Carrot,30C,Medium,FarmGrow Inc.,Winter,128km,69%
189,Saline,Chemical,Tropical,71,Chemical Control - Organic Pesticides,Early Spring,Potato,24C,Well-Done,FarmGrow Inc.,Summer,132km,28%
190,Saline,Organic,Arid,72,Chemical Control - Organic Pesticides,Winter,Lettuce,28C,Overdone,CropLife Solutions,Autumn,128km,35%
191,Saline,Chemical,Tropical,78,Biological Control - Predatory Insects,Autumn,Corn,33C,Overdone,CropLife Solutions,Winter,128km,80%
192,Clay,Compost,Temperate,72,Biological Control - Predatory Insects,Winter,Tomato,31C,Overdone,FarmGrow Inc.,Winter,128km,40%
193,Sandy,Organic,Arid,71,Chemical Control - Synthetic Pesticides,Late Spring,Wheat,29C,Medium-Well,GreenFields,Spring,133km,24%
194,Loamy,Compost,Arid,74,Biological Control - Predatory Insects,Late Spring,Potato,24C,Rare,FarmGrow Inc.,Summer,128km,70%
195,Clay,Chemical,Tropical,76,Integrated Pest Management,Late Summer,Tomato,31C,Well-Done,FarmGrow Inc.,Winter,133km,35%
196,Sandy,Organic,Temperate,65,Chemical Control - Synthetic Pesticides,Early Summer,Corn,31C,Well-Done,GreenFields,Summer,130km,61%
197,Loamy,Chemical,Temperate,61,Biological Control - Predatory Insects,Winter,Wheat,22C,Medium,CropLife Solutions,Spring,128km,100%
198,Loamy,Organic,Temperate,85,Chemical Control - Synthetic Pesticides,Winter,Potato,23C,Rare,AgriSeeds Co.,Spring,128km,38%
199,Sandy,Organic,Temperate,70,Chemical Control - Synthetic Pesticides,Winter,Carrot,27C,Well-Done,AgriSeeds Co.,Autumn,134km,100%
200,Saline,Compost,Tropical,72,Chemical Control - Synthetic Pesticides,Early Spring,Carrot,23C,Overdone,GreenFields,Summer,130km,47%
201,Sandy,Chemical,Arid,63,Chemical Control - Synthetic Pesticides,Late Spring,Lettuce,24C,Medium-Well,CropLife Solutions,Winter,130km,95%
202,Saline,Chemical,Temperate,76,Chemical Control - Organic Pesticides,Late Summer,Carrot,32C,Medium,FarmGrow Inc.,Autumn,133km,35%
203,Saline,Organic,Temperate,68,Chemical Control - Synthetic Pesticides,Winter,Potato,22C,Overdone,CropLife Solutions,Autumn,130km,63%
204,Clay,Chemical,Arid,70,Biological Control - Predatory Insects,Winter,Lettuce,26C,Medium-Rare,CropLife Solutions,Autumn,128km,42%
205,Sandy,Compost,Arid,61,Chemical Control - Synthetic Pesticides,Winter,Tomato,21C,Rare,FarmGrow Inc.,Autumn,129km,77%
206,Clay,Compost,Temperate,82,Integrated Pest Management,Late Summer,Lettuce,34C,Medium,CropLife Solutions,Summer,133km,71%
207,Sandy,Organic,Tropical,60,Biological Control - Predatory Insects,Early Spring,Wheat,26C,Medium,FarmGrow Inc.,Summer,134km,29%
208,Loamy,Organic,Temperate,79,Integrated Pest Management,Early Summer,Potato,34C,Medium,AgriSeeds Co.,Winter,131km,37%
209,Saline,Compost,Tropical,65,Biological Control - Predatory Insects,Autumn,Tomato,25C,Well-Done,FarmGrow Inc.,Spring,133km,99%
210,Clay,Organic,Temperate,71,Biological Control - Predatory Insects,Late Summer,Lettuce,28C,Well-Done,FarmGrow Inc.,Summer,132km,68%
211,Loamy,Chemical,Tropical,69,Chemical Control - Synthetic Pesticides,Late Spring,Carrot,31C,Medium-Well,FarmGrow Inc.,Summer,129km,45%
212,Saline,Chemical,Temperate,85,Integrated Pest Management,Autumn,Wheat,31C,Medium,AgriSeeds Co.,Spring,130km,21%
213,Saline,Organic,Arid,64,Chemical Control - Synthetic Pesticides,Winter,Lettuce,22C,Overdone,FarmGrow Inc.,Winter,130km,72%
214,Sandy,Chemical,Arid,70,Chemical Control - Organic Pesticides,Early Spring,Wheat,21C,Well-Done,AgriSeeds Co.,Spring,133km,88%
215,Loamy,Organic,Tropical,66,Biological Control - Predatory Insects,Late Spring,Carrot,25C,Well-Done,CropLife Solutions,Spring,130km,87%
216,Loamy,Organic,Arid,65,Chemical Control - Synthetic Pesticides,Winter,Potato,22C,Well-Done,GreenFields,Autumn,129km,28%
217,Clay,Organic,Arid,69,Chemical Control - Synthetic Pesticides,Late Summer,Potato,30C,Well-Done,AgriSeeds Co.,Winter,133km,91%
218,Clay,Chemical,Temperate,69,Chemical Control - Organic Pesticides,Late Spring,Tomato,20C,Medium,FarmGrow Inc.,Winter,130km,89%
219,Sandy,Compost,Temperate,78,Chemical Control - Synthetic Pesticides,Winter,Lettuce,29C,Rare,GreenFields,Summer,131km,38%
220,Sandy,Compost,Temperate,81,Chemical Control - Organic Pesticides,Early Spring,Wheat,20C,Well-Done,FarmGrow Inc.,Summer,131km,49%
221,Loamy,Organic,Tropical,71,Integrated Pest Management,Late Spring,Wheat,24C,Medium-Rare,GreenFields,Spring,129km,45%
222,Sandy,Compost,Temperate,77,Integrated Pest Management,Early Summer,Carrot,23C,Overdone,CropLife Solutions,Summer,129km,27%
223,Loamy,Chemical,Tropical,68,Integrated Pest Management,Autumn,Lettuce,20C,Well-Done,AgriSeeds Co.,Autumn,134km,96%
224,Loamy,Chemical,Temperate,61,Chemical Control - Synthetic Pesticides,Late Summer,Lettuce,24C,Medium,GreenFields,Winter,128km,29%
225,Loamy,Compost,Arid,60,Chemical Control - Organic Pesticides,Late Spring,Carrot,27C,Medium-Well,FarmGrow Inc.,Winter,128km,70%
226,Saline,Chemical,Tropical,60,Chemical Control - Organic Pesticides,Late Summer,Corn,32C,Well-Done,GreenFields,Autumn,130km,26%
227,Sandy,Compost,Temperate,74,Chemical Control - Organic Pesticides,Early Spring,Lettuce,25C,Overdone,GreenFields,Summer,128km,95%
228,Clay,Compost,Arid,76,Chemical Control - Synthetic Pesticides,Early Summer,Potato,34C,Medium-Rare,FarmGrow Inc.,Autumn,131km,89%
229,Loamy,Organic,Arid,76,Integrated Pest Management,Late Summer,Lettuce,33C,Well-Done,CropLife Solutions,Spring,128km,69%
230,Loamy,Compost,Temperate,68,Chemical Control - Organic Pesticides,Early Summer,Wheat,27C,Medium-Well,AgriSeeds Co.,Spring,134km,43%
231,Clay,Organic,Arid,62,Integrated Pest Management,Early Summer,Potato,24C,Medium,GreenFields,Autumn,131km,68%
232,Loamy,Compost,Tropical,79,Chemical Control - Organic Pesticides,Early Spring,Tomato,29C,Rare,FarmGrow Inc.,Spring,130km,46%
233,Loamy,Organic,Tropical,80,Integrated Pest Management,Late Summer,Wheat,27C,Medium,FarmGrow Inc.,Winter,132km,45%
234,Clay,Organic,Tropical,69,Chemical Control - Synthetic Pesticides,Late Summer,Lettuce,33C,Overdone,GreenFields,Spring,128km,51%
235,Clay,Compost,Temperate,71,Chemical Control - Synthetic Pesticides,Early Summer,Corn,22C,Overdone,GreenFields,Summer,128km,70%
236,Loamy,Chemical,Temperate,63,Chemical Control - Synthetic Pesticides,Early Summer,Corn,23C,Overdone,FarmGrow Inc.,Winter,133km,75%
237,Loamy,Compost,Tropical,80,Integrated Pest Management,Late Spring,Tomato,25C,Medium,GreenFields,Winter,131km,81%
238,Clay,Compost,Arid,66,Biological Control - Predatory Insects,Early Spring,Corn,29C,Rare,AgriSeeds Co.,Summer,132km,38%
239,Sandy,Chemical,Temperate,75,Biological Control - Predatory Insects,Late Summer,Lettuce,23C,Medium-Rare,CropLife Solutions,Autumn,134km,35%
240,Loamy,Compost,Temperate,84,Chemical Control - Organic Pesticides,Early Summer,Potato,21C,Overdone,CropLife Solutions,Summer,134km,86%
241,Saline,Organic,Tropical,83,Chemical Control - Organic Pesticides,Autumn,Potato,34C,Well-Done,CropLife Solutions,Spring,131km,60%
242,Sandy,Compost,Tropical,71,Chemical Control - Organic Pesticides,Late Summer,Potato,26C,Medium-Rare,CropLife Solutions,Summer,130km,25%
243,Saline,Compost,Arid,75,Biological Control - Predatory Insects,Winter,Wheat,31C,Medium-Rare,AgriSeeds Co.,Autumn,133km,21%
244,Loamy,Chemical,Tropical,60,Biological Control - Predatory Insects,Early Spring,Tomato,26C,Medium-Rare,AgriSeeds Co.,Summer,131km,32%
245,Loamy,Organic,Arid,64,Chemical Control - Synthetic Pesticides,Late Summer,Lettuce,21C,Medium,AgriSeeds Co.,Spring,131km,30%
246,Loamy,Organic,Tropical,85,Chemical Control - Organic Pesticides,Autumn,Lettuce,23C,Medium,CropLife Solutions,Summer,134km,67%
247,Saline,Organic,Tropical,68,Chemical Control - Organic Pesticides,Early Summer,Corn,32C,Rare,AgriSeeds Co.,Winter,128km,61%
248,Clay,Chemical,Temperate,65,Biological Control - Predatory Insects,Late Spring,Corn,21C,Overdone,AgriSeeds Co.,Winter,133km,99%
249,Loamy,Compost,Tropical,66,Integrated Pest Management,Early Spring,Lettuce,25C,Overdone,GreenFields,Winter,132km,25%
250,Sandy,Organic,Tropical,83,Chemical Control - Synthetic Pesticides,Autumn,Potato,27C,Medium-Well,CropLife Solutions,Summer,131km,92%
251,Clay,Compost,Temperate,82,Chemical Control - Synthetic Pesticides,Late Spring,Potato,28C,Overdone,CropLife Solutions,Spring,132km,52%
252,Sandy,Compost,Arid,67,Biological Control - Predatory Insects,Early Spring,Wheat,24C,Overdone,GreenFields,Autumn,128km,58%
253,Loamy,Compost,Temperate,77,Chemical Control - Organic Pesticides,Autumn,Potato,32C,Rare,CropLife Solutions,Autumn,131km,92%
254,Saline,Chemical,Tropical,80,Biological Control - Predatory Insects,Early Summer,Carrot,26C,Overdone,GreenFields,Summer,134km,95%
255,Loamy,Compost,Temperate,69,Chemical Control - Organic Pesticides,Early Summer,Corn,29C,Medium-Well,CropLife Solutions,Winter,131km,56%
256,Sandy,Compost,Temperate,74,Chemical Control - Organic Pesticides,Late Spring,Potato,28C,Medium-Rare,FarmGrow Inc.,Winter,133km,89%
257,Sandy,Chemical,Temperate,71,Biological Control - Predatory Insects,Late Summer,Corn,32C,Well-Done,CropLife Solutions,Autumn,128km,56%
258,Loamy,Compost,Arid,66,Chemical Control - Synthetic Pesticides,Early Spring,Corn,32C,Rare,CropLife Solutions,Winter,131km,86%
259,Saline,Organic,Temperate,68,Integrated Pest Management,Late Spring,Carrot,29C,Medium-Well,GreenFields,Winter,133km,89%
260,Clay,Organic,Tropical,84,Chemical Control - Synthetic Pesticides,Early Summer,Tomato,28C,Well-Done,AgriSeeds Co.,Autumn,129km,67%
261,Clay,Chemical,Arid,61,Integrated Pest Management,Autumn,Lettuce,33C,Medium-Well,CropLife Solutions,Autumn,128km,61%
262,Sandy,Chemical,Tropical,74,Biological Control - Predatory Insects,Early Summer,Corn,32C,Well-Done,AgriSeeds Co.,Winter,128km,78%
263,Clay,Compost,Tropical,64,Chemical Control - Organic Pesticides,Early Spring,Tomato,22C,Medium,FarmGrow Inc.,Summer,134km,47%
264,Saline,Organic,Temperate,84,Chemical Control - Organic Pesticides,Early Summer,Corn,25C,Well-Done,GreenFields,Winter,128km,77%
265,Saline,Chemical,Tropical,71,Biological Control - Predatory Insects,Winter,Tomato,28C,Overdone,AgriSeeds Co.,Autumn,129km,28%
266,Clay,Chemical,Tropical,64,Chemical Control - Synthetic Pesticides,Late Summer,Corn,22C,Medium,AgriSeeds Co.,Winter,133km,92%
267,Clay,Compost,Temperate,80,Biological Control - Predatory Insects,Late Spring,Wheat,33C,Overdone,CropLife Solutions,Summer,128km,21%
268,Clay,Chemical,Temperate,68,Biological Control - Predatory Insects,Early Spring,Tomato,34C,Overdone,CropLife Solutions,Winter,128km,69%
269,Sandy,Chemical,Tropical,79,Integrated Pest Management,Early Summer,Wheat,23C,Medium-Rare,AgriSeeds Co.,Summer,132km,41%
270,Clay,Compost,Arid,65,Biological Control - Predatory Insects,Early Summer,Carrot,34C,Medium-Rare,GreenFields,Spring,130km,88%
271,Loamy,Compost,Temperate,69,Chemical Control - Organic Pesticides,Early Summer,Wheat,21C,Rare,GreenFields,Spring,128km,84%
272,Loamy,Organic,Tropical,83,Chemical Control - Synthetic Pesticides,Winter,Corn,24C,Well-Done,FarmGrow Inc.,Summer,130km,20%
273,Clay,Compost,Tropical,65,Integrated Pest Management,Autumn,Carrot,20C,Well-Done,AgriSeeds Co.,Spring,130km,86%
274,Clay,Compost,Arid,61,Integrated Pest Management,Early Summer,Carrot,29C,Well-Done,FarmGrow Inc.,Summer,133km,46%
275,Sandy,Chemical,Arid,76,Biological Control - Predatory Insects,Winter,Carrot,32C,Medium,CropLife Solutions,Autumn,132km,75%
276,Clay,Chemical,Arid,73,Chemical Control - Organic Pesticides,Early Summer,Tomato,30C,Medium-Rare,FarmGrow Inc.,Autumn,132km,56%
277,Clay,Organic,Arid,72,Integrated Pest Management,Early Summer,Wheat,29C,Medium-Rare,FarmGrow Inc.,Spring,132km,95%
278,Saline,Compost,Temperate,80,Biological Control - Predatory Insects,Early Summer,Potato,20C,Medium-Well,CropLife Solutions,Winter,132km,24%
279,Clay,Chemical,Temperate,68,Chemical Control - Organic Pesticides,Autumn,Carrot,31C,Well-Done,FarmGrow Inc.,Autumn,129km,81%
280,Saline,Chemical,Arid,77,Chemical Control - Organic Pesticides,Early Summer,Carrot,24C,Medium,GreenFields,Summer,130km,78%
281,Sandy,Compost,Tropical,71,Chemical Control - Synthetic Pesticides,Early Spring,Wheat,25C,Overdone,CropLife Solutions,Summer,133km,74%
282,Sandy,Chemical,Temperate,63,Chemical Control - Synthetic Pesticides,Winter,Tomato,27C,Medium-Rare,FarmGrow Inc.,Autumn,133km,94%
283,Saline,Chemical,Tropical,65,Integrated Pest Management,Late Spring,Potato,21C,Rare,FarmGrow Inc.,Winter,131km,99%
284,Saline,Compost,Arid,67,Biological Control - Predatory Insects,Late Spring,Wheat,20C,Overdone,GreenFields,Spring,134km,56%
285,Saline,Chemical,Tropical,76,Biological Control - Predatory Insects,Autumn,Lettuce,27C,Medium-Rare,FarmGrow Inc.,Spring,131km,54%
286,Sandy,Compost,Temperate,73,Biological Control - Predatory Insects,Late Summer,Potato,33C,Medium-Rare,CropLife Solutions,Summer,129km,37%
287,Sandy,Chemical,Temperate,85,Chemical Control - Synthetic Pesticides,Winter,Corn,31C,Medium-Rare,AgriSeeds Co.,Summer,134km,28%
288,Sandy,Compost,Tropical,62,Chemical Control - Organic Pesticides,Winter,Wheat,24C,Overdone,AgriSeeds Co.,Summer,132km,37%
289,Sandy,Chemical,Arid,77,Chemical Control - Synthetic Pesticides,Early Spring,Potato,29C,Well-Done,FarmGrow Inc.,Spring,132km,24%
290,Clay,Chemical,Temperate,79,Integrated Pest Management,Early Summer,Potato,34C,Medium,GreenFields,Spring,132km,73%
291,Clay,Organic,Tropical,67,Biological Control - Predatory Insects,Early Summer,Corn,30C,Well-Done,FarmGrow Inc.,Summer,129km,26%
292,Clay,Organic,Tropical,71,Chemical Control - Synthetic Pesticides,Early Summer,Potato,30C,Medium-Rare,FarmGrow Inc.,Winter,130km,91%
293,Clay,Compost,Arid,64,Biological Control - Predatory Insects,Early Spring,Tomato,34C,Well-Done,GreenFields,Winter,133km,64%
294,Saline,Organic,Arid,75,Chemical Control - Synthetic Pesticides,Early Spring,Corn,24C,Medium-Rare,CropLife Solutions,Spring,129km,23%
295,Saline,Compost,Arid,79,Chemical Control - Organic Pesticides,Late Summer,Carrot,34C,Medium-Well,GreenFields,Summer,131km,54%
296,Saline,Chemical,Arid,82,Chemical Control - Organic Pesticides,Early Spring,Tomato,23C,Rare,AgriSeeds Co.,Spring,130km,31%
297,Clay,Organic,Temperate,76,Chemical Control - Organic Pesticides,Late Summer,Lettuce,22C,Well-Done,FarmGrow Inc.,Spring,133km,40%
298,Loamy,Chemical,Tropical,85,Integrated Pest Management,Winter,Potato,22C,Well-Done,GreenFields,Winter,131km,88%
299,Clay,Compost,Arid,62,Integrated Pest Management,Early Summer,Carrot,25C,Medium-Rare,FarmGrow Inc.,Winter,133km,97%
300,Sandy,Organic,Temperate,81,Chemical Control - Organic Pesticides,Early Spring,Carrot,25C,Medium-Well,AgriSeeds Co.,Winter,131km,37%
301,Saline,Chemical,Temperate,81,Chemical Control - Synthetic Pesticides,Late Spring,Wheat,23C,Medium-Well,CropLife Solutions,Spring,130km,91%
302,Loamy,Chemical,Tropical,77,Chemical Control - Synthetic Pesticides,Early Spring,Wheat,30C,Rare,CropLife Solutions,Spring,132km,29%
303,Saline,Organic,Temperate,84,Chemical Control - Synthetic Pesticides,Early Summer,Carrot,21C,Well-Done,AgriSeeds Co.,Summer,128km,64%
304,Loamy,Compost,Arid,74,Chemical Control - Synthetic Pesticides,Autumn,Potato,27C,Medium,GreenFields,Winter,134km,74%
305,Loamy,Chemical,Temperate,84,Chemical Control - Synthetic Pesticides,Winter,Corn,31C,Medium-Well,GreenFields,Winter,130km,32%
306,Clay,Compost,Temperate,76,Chemical Control - Synthetic Pesticides,Early Summer,Corn,34C,Medium,AgriSeeds Co.,Autumn,129km,37%
307,Loamy,Organic,Tropical,77,Chemical Control - Synthetic Pesticides,Late Summer,Corn,28C,Medium,GreenFields,Winter,131km,75%
308,Sandy,Organic,Tropical,64,Chemical Control - Organic Pesticides,Early Spring,Corn,20C,Medium,GreenFields,Autumn,129km,83%
309,Saline,Compost,Tropical,60,Chemical Control - Organic Pesticides,Autumn,Potato,20C,Rare,GreenFields,Spring,132km,62%
310,Saline,Chemical,Arid,74,Chemical Control - Organic Pesticides,Late Spring,Wheat,34C,Medium,AgriSeeds Co.,Spring,129km,76%
311,Saline,Compost,Temperate,84,Chemical Control - Synthetic Pesticides,Early Spring,Wheat,34C,Rare,GreenFields,Autumn,131km,83%
312,Sandy,Compost,Arid,63,Chemical Control - Organic Pesticides,Autumn,Potato,25C,Rare,AgriSeeds Co.,Winter,132km,41%
313,Saline,Chemical,Tropical,67,Integrated Pest Management,Early Summer,Tomato,25C,Overdone,FarmGrow Inc.,Autumn,134km,25%
314,Loamy,Chemical,Tropical,80,Chemical Control - Organic Pesticides,Autumn,Wheat,28C,Overdone,FarmGrow Inc.,Winter,132km,20%
315,Saline,Chemical,Temperate,71,Biological Control - Predatory Insects,Autumn,Wheat,25C,Medium-Rare,AgriSeeds Co.,Winter,132km,51%
316,Clay,Chemical,Temperate,73,Integrated Pest Management,Late Summer,Corn,28C,Well-Done,CropLife Solutions,Winter,132km,20%
317,Sandy,Organic,Tropical,60,Integrated Pest Management,Late Spring,Corn,22C,Medium-Rare,AgriSeeds Co.,Spring,128km,93%
318,Clay,Compost,Arid,82,Chemical Control - Organic Pesticides,Winter,Wheat,30C,Well-Done,GreenFields,Summer,129km,28%
319,Sandy,Chemical,Temperate,74,Integrated Pest Management,Late Summer,Lettuce,32C,Medium,GreenFields,Summer,130km,89%
320,Loamy,Chemical,Arid,84,Integrated Pest Management,Late Summer,Tomato,28C,Rare,CropLife Solutions,Autumn,129km,83%
321,Sandy,Organic,Temperate,65,Chemical Control - Organic Pesticides,Autumn,Carrot,20C,Medium-Well,FarmGrow Inc.,Spring,131km,62%
322,Saline,Organic,Tropical,64,Chemical Control - Synthetic Pesticides,Late Summer,Tomato,28C,Medium-Rare,FarmGrow Inc.,Summer,132km,22%
323,Sandy,Chemical,Tropical,79,Integrated Pest Management,Early Summer,Corn,33C,Medium,CropLife Solutions,Autumn,130km,30%
324,Loamy,Organic,Arid,82,Integrated Pest Management,Early Spring,Wheat,21C,Overdone,AgriSeeds Co.,Winter,129km,91%
325,Sandy,Compost,Temperate,69,Biological Control - Predatory Insects,Winter,Wheat,33C,Overdone,GreenFields,Spring,129km,52%
326,Clay,Chemical,Temperate,76,Integrated Pest Management,Autumn,Wheat,27C,Rare,AgriSeeds Co.,Spring,133km,34%
327,Clay,Chemical,Tropical,76,Chemical Control - Organic Pesticides,Late Summer,Tomato,24C,Well-Done,GreenFields,Summer,134km,54%
328,Clay,Chemical,Temperate,74,Chemical Control - Organic Pesticides,Late Summer,Lettuce,24C,Well-Done,FarmGrow Inc.,Spring,131km,41%
329,Loamy,Compost,Arid,71,Biological Control - Predatory Insects,Early Spring,Tomato,25C,Rare,CropLife Solutions,Spring,130km,76%
330,Sandy,Organic,Tropical,63,Chemical Control - Organic Pesticides,Early Summer,Lettuce,29C,Rare,AgriSeeds Co.,Winter,131km,47%
331,Sandy,Organic,Arid,77,Biological Control - Predatory Insects,Early Spring,Wheat,27C,Medium-Rare,FarmGrow Inc.,Summer,131km,39%
332,Clay,Chemical,Arid,84,Chemical Control - Synthetic Pesticides,Early Spring,Corn,21C,Medium-Well,CropLife Solutions,Winter,130km,24%
