id,soil_type,fertilizer_type,climate,humidity_level,pest_disease_management,plant_time,crop_harvested,water_temperature,harvest_colour,seed_supplier,season,distance_to_retailer,harvest_yield
333,Saline,Organic,Temperate,66,Chemical Control - Synthetic Pesticides,Autumn,Corn,31C,Overdone,GreenFields,Summer,128km,38%
334,Loamy,Chemical,Tropical,65,Biological Control - Predatory Insects,Early Summer,Wheat,25C,Medium-Rare,AgriSeeds Co.,Autumn,134km,77%
335,Saline,Chemical,Arid,83,Biological Control - Predatory Insects,Winter,Wheat,23C,Medium,AgriSeeds Co.,Spring,133km,85%
336,Clay,Organic,Temperate,64,Chemical Control - Synthetic Pesticides,Early Summer,Corn,30C,Rare,FarmGrow Inc.,Spring,132km,24%
337,Clay,Compost,Tropical,75,Biological Control - Predatory Insects,Early Summer,Tomato,33C,Rare,FarmGrow Inc.,Summer,132km,74%
338,Sandy,Organic,Tropical,85,Chemical Control - Synthetic Pesticides,Late Spring,Tomato,24C,Rare,CropLife Solutions,Autumn,130km,46%
339,Loamy,Compost,Arid,77,Biological Control - Predatory Insects,Late Spring,Corn,28C,Overdone,GreenFields,Summer,132km,54%
340,Saline,Compost,Arid,79,Chemical Control - Organic Pesticides,Winter,Tomato,33C,Medium-Rare,AgriSeeds Co.,Autumn,134km,72%
341,Saline,Compost,Tropical,62,Chemical Control - Synthetic Pesticides,Late Summer,Carrot,25C,Medium-Rare,GreenFields,Winter,133km,94%
342,Sandy,Compost,Arid,83,Integrated Pest Management,Winter,Corn,26C,Medium-Well,GreenFields,Winter,129km,81%
343,Saline,Compost,Arid,84,Chemical Control - Synthetic Pesticides,Early Spring,Tomato,24C,Medium-Well,GreenFields,Summer,130km,47%
344,Sandy,Chemical,Arid,68,Integrated Pest Management,Early Summer,Potato,30C,Overdone,FarmGrow Inc.,Spring,129km,85%
345,Loamy,Compost,Temperate,61,Chemical Control - Organic Pesticides,Autumn,Corn,22C,Medium-Rare,AgriSeeds Co.,Summer,129km,81%
346,Loamy,Organic,Tropical,74,Biological Control - Predatory Insects,Early Summer,Tomato,29C,Well-Done,FarmGrow Inc.,Summer,134km,30%
347,Saline,Organic,Arid,68,Integrated Pest Management,Autumn,Potato,24C,Medium-Well,GreenFields,Autumn,129km,55%
348,Loamy,Compost,Tropical,71,Biological Control - Predatory Insects,Early Spring,Corn,26C,Rare,CropLife Solutions,Spring,133km,99%
349,Clay,Chemical,Arid,76,Integrated Pest Management,Winter,Wheat,34C,Medium-Rare,CropLife Solutions,Autumn,133km,25%
350,Clay,Chemical,Temperate,61,Biological Control - Predatory Insects,Winter,Potato,21C,Medium,GreenFields,Winter,129km,24%
351,Saline,Compost,Temperate,64,Chemical Control - Organic Pesticides,Winter,Corn,25C,Overdone,GreenFields,Spring,134km,54%
352,Loamy,Chemical,Tropical,69,Integrated Pest Management,Early Summer,Wheat,27C,Overdone,AgriSeeds Co.,Spring,129km,53%
353,Clay,Chemical,Temperate,64,Biological Control - Predatory Insects,Early Spring,Potato,22C,Medium-Rare,FarmGrow Inc.,Summer,129km,57%
354,Clay,Organic,Tropical,68,Biological Control - Predatory Insects,Late Spring,Potato,26C,Well-Done,AgriSeeds Co.,Winter,134km,33%
355,Loamy,Organic,Tropical,77,Biological Control - Predatory Insects,Early Summer,Wheat,29C,Overdone,FarmGrow Inc.,Autumn,130km,59%
356,Sandy,Organic,Tropical,82,Chemical Control - Organic Pesticides,Early Spring,Lettuce,24C,Rare,GreenFields,Winter,128km,53%
357,Loamy,Organic,Temperate,71,Chemical Control - Synthetic Pesticides,Late Summer,Lettuce,28C,Overdone,FarmGrow Inc.,Spring,134km,37%
358,Loamy,Organic,Temperate,85,Integrated Pest Management,Winter,Wheat,26C,Overdone,FarmGrow Inc.,Summer,129km,35%
359,Loamy,Organic,Arid,66,Chemical Control - Synthetic Pesticides,Late Spring,Potato,31C,Well-Done,AgriSeeds Co.,Autumn,130km,25%
360,Loamy,Chemical,Tropical,85,Biological Control - Predatory Insects,Late Spring,Tomato,21C,Overdone,AgriSeeds Co.,Winter,132km,29%
361,Clay,Organic,Temperate,79,Biological Control - Predatory Insects,Late Summer,Corn,23C,Overdone,AgriSeeds Co.,Winter,132km,62%
362,Loamy,Chemical,Temperate,70,Chemical Control - Organic Pesticides,Early Summer,Carrot,26C,Well-Done,CropLife Solutions,Autumn,129km,82%
363,Clay,Chemical,Tropical,62,Chemical Control - Organic Pesticides,Late Summer,Carrot,22C,Medium-Rare,AgriSeeds Co.,Autumn,130km,86%
364,Sandy,Chemical,Arid,71,Chemical Control - Organic Pesticides,Early Summer,Carrot,23C,Overdone,FarmGrow Inc.,Winter,128km,27%
365,Saline,Compost,Tropical,74,Chemical Control - Organic Pesticides,Early Summer,Tomato,30C,Rare,FarmGrow Inc.,Summer,130km,88%
366,Clay,Chemical,Temperate,66,Chemical Control - Organic Pesticides,Winter,Carrot,28C,Medium,AgriSeeds Co.,Spring,128km,52%
367,Saline,Organic,Tropical,62,Integrated Pest Management,Early Spring,Carrot,25C,Overdone,AgriSeeds Co.,Winter,128km,82%
368,Clay,Compost,Arid,81,Chemical Control - Synthetic Pesticides,Late Summer,Tomato,30C,Overdone,FarmGrow Inc.,Autumn,133km,31%
369,Saline,Organic,Temperate,70,Chemical Control - Synthetic Pesticides,Autumn,Carrot,34C,Medium-Rare,AgriSeeds Co.,Spring,129km,90%
370,Clay,Organic,Arid,73,Chemical Control - Organic Pesticides,Late Spring,Tomato,30C,Medium,GreenFields,Summer,134km,64%
371,Saline,Chemical,Tropical,77,Integrated Pest Management,Winter,Potato,33C,Medium-Rare,CropLife Solutions,Spring,132km,71%
372,Loamy,Compost,Tropical,64,Chemical Control - Organic Pesticides,Early Summer,Carrot,23C,Well-Done,AgriSeeds Co.,Summer,129km,50%
373,Sandy,Organic,Tropical,79,Chemical Control - Organic Pesticides,Autumn,Lettuce,20C,Overdone,CropLife Solutions,Spring,129km,61%
374,Loamy,Organic,Temperate,83,Biological Control - Predatory Insects,Early Summer,Potato,22C,Well-Done,GreenFields,Summer,129km,33%
375,Loamy,Chemical,Arid,85,Biological Control - Predatory Insects,Late Summer,Wheat,29C,Overdone,FarmGrow Inc.,Spring,133km,69%
376,Saline,Chemical,Tropical,74,Biological Control - Predatory Insects,Early Summer,Corn,20C,Medium-Rare,AgriSeeds Co.,Autumn,134km,97%
377,Loamy,Organic,Arid,84,Biological Control - Predatory Insects,Late Spring,Wheat,22C,Overdone,FarmGrow Inc.,Winter,130km,69%
378,Saline,Chemical,Tropical,85,Chemical Control - Synthetic Pesticides,Late Summer,Potato,28C,Medium-Rare,GreenFields,Autumn,128km,100%
379,Sandy,Chemical,Arid,79,Chemical Control - Synthetic Pesticides,Late Spring,Corn,22C,Medium,GreenFields,Spring,132km,85%
380,Sandy,Compost,Temperate,79,Chemical Control - Organic Pesticides,Early Summer,Corn,23C,Well-Done,AgriSeeds Co.,Winter,130km,83%
381,Loamy,Compost,Temperate,76,Integrated Pest Management,Late Summer,Potato,28C,Overdone,CropLife Solutions,Summer,134km,31%
382,Saline,Compost,Tropical,67,Chemical Control - Synthetic Pesticides,Autumn,Potato,28C,Medium-Well,GreenFields,Winter,130km,93%
383,Clay,Compost,Temperate,64,Integrated Pest Management,Early Summer,Carrot,30C,Overdone,FarmGrow Inc.,Autumn,128km,74%
384,Sandy,Chemical,Temperate,80,Biological Control - Predatory Insects,Early Spring,Wheat,30C,Medium-Rare,CropLife Solutions,Summer,133km,24%
385,Loamy,Organic,Tropical,65,Chemical Control - Organic Pesticides,Winter,Tomato,27C,Medium-Rare,AgriSeeds Co.,Spring,132km,20%
386,Clay,Organic,Temperate,83,Chemical Control - Organic Pesticides,Early Summer,Lettuce,21C,Medium-Well,AgriSeeds Co.,Winter,134km,91%
387,Clay,Compost,Tropical,76,Chemical Control - Organic Pesticides,Late Spring,Lettuce,25C,Medium-Rare,GreenFields,Summer,131km,56%
388,Sandy,Chemical,Tropical,69,Chemical Control - Synthetic Pesticides,Early Summer,Potato,24C,Overdone,FarmGrow Inc.,Summer,133km,54%
389,Clay,Chemical,Temperate,76,Biological Control - Predatory Insects,Late Summer,Tomato,30C,Medium,AgriSeeds Co.,Autumn,132km,90%
390,Sandy,Organic,Arid,77,Biological Control - Predatory Insects,Late Spring,Carrot,23C,Well-Done,AgriSeeds Co.,Winter,128km,47%
391,Saline,Organic,Tropical,69,Integrated Pest Management,Autumn,Corn,34C,Well-Done,FarmGrow Inc.,Autumn,128km,42%
392,Sandy,Chemical,Arid,62,Chemical Control - Organic Pesticides,Autumn,Corn,28C,Rare,AgriSeeds Co.,Summer,129km,63%
393,Sandy,Compost,Temperate,82,Biological Control - Predatory Insects,Early Summer,Carrot,30C,Overdone,CropLife Solutions,Autumn,131km,92%
394,Loamy,Chemical,Arid,81,Biological Control - Predatory Insects,Autumn,Potato,28C,Overdone,AgriSeeds Co.,Winter,131km,68%
395,Loamy,Chemical,Temperate,74,Integrated Pest Management,Winter,Corn,22C,Medium,GreenFields,Summer,134km,84%
396,Sandy,Compost,Temperate,60,Chemical Control - Organic Pesticides,Autumn,Potato,34C,Medium,AgriSeeds Co.,Summer,133km,32%
397,Sandy,Compost,Tropical,81,Biological Control - Predatory Insects,Winter,Corn,26C,Medium,CropLife Solutions,Spring,131km,91%
398,Clay,Compost,Tropical,72,Integrated Pest Management,Early Summer,Tomato,26C,Overdone,CropLife Solutions,Winter,133km,57%
399,Clay,Organic,Temperate,73,Biological Control - Predatory Insects,Early Summer,Tomato,34C,Rare,AgriSeeds Co.,Summer,133km,91%
400,Loamy,Chemical,Tropical,80,Chemical Control - Synthetic Pesticides,Late Summer,Tomato,27C,Medium-Well,AgriSeeds Co.,Summer,128km,58%
401,Loamy,Organic,Arid,82,Biological Control - Predatory Insects,Late Summer,Tomato,24C,Well-Done,CropLife Solutions,Summer,131km,93%
402,Sandy,Organic,Tropical,79,Chemical Control - Organic Pesticides,Early Summer,Tomato,22C,Overdone,FarmGrow Inc.,Summer,129km,34%
403,Loamy,Organic,Tropical,63,Chemical Control - Organic Pesticides,Late Summer,Potato,29C,Rare,CropLife Solutions,Summer,133km,69%
404,Saline,Organic,Tropical,67,Chemical Control - Organic Pesticides,Early Summer,Tomato,34C,Medium-Well,CropLife Solutions,Winter,129km,70%
405,Clay,Chemical,Temperate,61,Chemical Control - Synthetic Pesticides,Late Summer,Lettuce,25C,Medium-Rare,AgriSeeds Co.,Spring,133km,79%
406,Saline,Compost,Arid,61,Chemical Control - Synthetic Pesticides,Winter,Corn,21C,Well-Done,AgriSeeds Co.,Winter,128km,30%
407,Loamy,Chemical,Arid,73,Integrated Pest Management,Early Summer,Potato,24C,Overdone,AgriSeeds Co.,Spring,133km,98%
408,Loamy,Chemical,Temperate,82,Chemical Control - Synthetic Pesticides,Early Spring,Potato,27C,Rare,CropLife Solutions,Autumn,131km,57%
409,Saline,Chemical,Tropical,62,Integrated Pest Management,Early Spring,Lettuce,28C,Well-Done,AgriSeeds Co.,Autumn,131km,30%
410,Clay,Chemical,Temperate,68,Biological Control - Predatory Insects,Autumn,Carrot,28C,Rare,GreenFields,Summer,131km,85%
411,Sandy,Chemical,Arid,63,Biological Control - Predatory Insects,Winter,Lettuce,32C,Rare,CropLife Solutions,Winter,131km,42%
412,Sandy,Compost,Tropical,63,Integrated Pest Management,Winter,Wheat,27C,Well-Done,CropLife Solutions,Spring,128km,30%
413,Saline,Compost,Arid,76,Chemical Control - Synthetic Pesticides,Late Spring,Potato,31C,Medium-Rare,GreenFields,Winter,130km,62%
414,Loamy,Compost,Tropical,82,Chemical Control - Synthetic Pesticides,Late Spring,Tomato,28C,Rare,GreenFields,Autumn,133km,52%
415,Sandy,Organic,Arid,69,Biological Control - Predatory Insects,Early Summer,Tomato,26C,Medium-Rare,AgriSeeds Co.,Spring,133km,48%
416,Sandy,Organic,Tropical,84,Biological Control - Predatory Insects,Late Spring,Potato,29C,Overdone,GreenFields,Autumn,130km,28%
417,Saline,Compost,Tropical,68,Chemical Control - Synthetic Pesticides,Autumn,Carrot,25C,Well-Done,AgriSeeds Co.,Spring,130km,79%
418,Loamy,Organic,Temperate,61,Chemical Control - Organic Pesticides,Early Spring,Tomato,25C,Rare,GreenFields,Summer,134km,38%
419,Sandy,Organic,Temperate,62,Chemical Control - Synthetic Pesticides,Winter,Corn,25C,Well-Done,AgriSeeds Co.,Summer,132km,22%
420,Loamy,Compost,Temperate,65,Integrated Pest Management,Early Summer,Tomato,25C,Overdone,AgriSeeds Co.,Autumn,131km,41%
421,Loamy,Organic,Arid,70,Chemical Control - Organic Pesticides,Late Spring,Lettuce,27C,Medium-Well,CropLife Solutions,Winter,133km,56%
422,Clay,Organic,Arid,74,Biological Control - Predatory Insects,Winter,Carrot,22C,Medium,CropLife Solutions,Winter,130km,77%
423,Saline,Chemical,Arid,81,Chemical Control - Synthetic Pesticides,Autumn,Potato,27C,Medium-Well,GreenFields,Winter,133km,92%
424,Sandy,Compost,Arid,84,Biological Control - Predatory Insects,Late Spring,Carrot,31C,Medium-Well,FarmGrow Inc.,Autumn,132km,49%
425,Sandy,Compost,Temperate,66,Biological Control - Predatory Insects,Early Spring,Tomato,32C,Overdone,GreenFields,Winter,130km,64%
426,Loamy,Compost,Temperate,81,Integrated Pest Management,Winter,Potato,20C,Medium,AgriSeeds Co.,Winter,129km,67%
427,Saline,Organic,Arid,83,Chemical Control - Synthetic Pesticides,Early Summer,Wheat,20C,Medium,CropLife Solutions,Summer,131km,63%
428,Saline,Organic,Temperate,75,Biological Control - Predatory Insects,Late Spring,Wheat,23C,Medium,AgriSeeds Co.,Winter,131km,43%
429,Saline,Chemical,Temperate,81,Chemical Control - Organic Pesticides,Late Summer,Carrot,31C,Rare,CropLife Solutions,Spring,128km,44%
430,Clay,Compost,Arid,76,Integrated Pest Management,Winter,Corn,26C,Medium-Well,CropLife Solutions,Spring,133km,27%
431,Clay,Compost,Temperate,80,Chemical Control - Organic Pesticides,Autumn,Corn,32C,Medium,CropLife Solutions,Spring,130km,79%
432,Saline,Compost,Temperate,79,Integrated Pest Management,Early Summer,Potato,27C,Medium-Well,GreenFields,Spring,129km,89%
433,Saline,Chemical,Tropical,64,Integrated Pest Management,Autumn,Tomato,33C,Rare,CropLife Solutions,Autumn,134km,88%
434,Sandy,Compost,Arid,72,Chemical Control - Organic Pesticides,Early Summer,Potato,33C,Well-Done,CropLife Solutions,Winter,130km,37%
435,Loamy,Chemical,Tropical,77,Integrated Pest Management,Autumn,Potato,25C,Medium,FarmGrow Inc.,Spring,128km,46%
436,Clay,Compost,Tropical,72,Chemical Control - Organic Pesticides,Winter,Lettuce,25C,Well-Done,FarmGrow Inc.,Winter,129km,50%
437,Saline,Chemical,Tropical,84,Chemical Control - Organic Pesticides,Early Summer,Corn,34C,Medium-Rare,AgriSeeds Co.,Winter,129km,59%
438,Saline,Chemical,Arid,84,Integrated Pest Management,Late Summer,Carrot,20C,Medium-Rare,GreenFields,Autumn,134km,32%
439,Sandy,Chemical,Arid,66,Chemical Control - Synthetic Pesticides,Autumn,Corn,32C,Medium-Well,CropLife Solutions,Spring,128km,80%
440,Sandy,Organic,Temperate,69,Chemical Control - Organic Pesticides,Late Summer,Lettuce,30C,Overdone,GreenFields,Summer,133km,20%
441,Sandy,Compost,Arid,66,Chemical Control - Synthetic Pesticides,Winter,Potato,23C,Rare,CropLife Solutions,Autumn,129km,91%
442,Loamy,Organic,Tropical,70,Chemical Control - Synthetic Pesticides,Late Spring,Potato,20C,Medium,AgriSeeds Co.,Autumn,130km,38%
443,Sandy,Compost,Arid,69,Chemical Control - Organic Pesticides,Early Summer,Carrot,28C,Medium-Well,CropLife Solutions,Spring,133km,62%
444,Loamy,Compost,Tropical,85,Biological Control - Predatory Insects,Late Spring,Tomato,24C,Overdone,GreenFields,Winter,129km,93%
445,Sandy,Organic,Tropical,84,Chemical Control - Synthetic Pesticides,Late Summer,Corn,26C,Medium,AgriSeeds Co.,Summer,134km,34%
446,Sandy,Chemical,Tropical,63,Chemical Control - Synthetic Pesticides,Winter,Carrot,21C,Medium-Rare,GreenFields,Spring,129km,40%
447,Loamy,Compost,Temperate,65,Integrated Pest Management,Early Spring,Tomato,27C,Medium-Rare,AgriSeeds Co.,Winter,128km,47%
448,Sandy,Compost,Arid,80,Chemical Control - Organic Pesticides,Early Spring,Lettuce,34C,Well-Done,GreenFields,Winter,131km,35%
449,Clay,Compost,Temperate,66,Chemical Control - Organic Pesticides,Late Spring,Potato,21C,Well-Done,FarmGrow Inc.,Spring,133km,29%
450,Loamy,Chemical,Temperate,84,Biological Control - Predatory Insects,Winter,Potato,29C,Overdone,CropLife Solutions,Summer,133km,46%
451,Clay,Organic,Arid,68,Chemical Control - Synthetic Pesticides,Winter,Tomato,22C,Rare,CropLife Solutions,Autumn,131km,21%
452,Clay,Chemical,Arid,60,Chemical Control - Organic Pesticides,Winter,Wheat,29C,Rare,GreenFields,Summer,130km,53%
453,Clay,Organic,Arid,67,Biological Control - Predatory Insects,Winter,Lettuce,30C,Medium-Rare,AgriSeeds Co.,Autumn,129km,90%
454,Clay,Chemical,Arid,62,Integrated Pest Management,Winter,Carrot,25C,Rare,AgriSeeds Co.,Spring,134km,65%
455,Clay,Organic,Temperate,60,Chemical Control - Synthetic Pesticides,Late Spring,Lettuce,20C,Medium,FarmGrow Inc.,Autumn,131km,47%
456,Sandy,Chemical,Temperate,68,Chemical Control - Synthetic Pesticides,Autumn,Lettuce,28C,Overdone,CropLife Solutions,Winter,129km,35%
457,Clay,Organic,Arid,81,Chemical Control - Organic Pesticides,Early Spring,Potato,33C,Rare,AgriSeeds Co.,Autumn,128km,58%
458,Saline,Chemical,Temperate,68,Biological Control - Predatory Insects,Winter,Wheat,22C,Medium-Rare,AgriSeeds Co.,Autumn,133km,33%
459,Saline,Organic,Temperate,60,Biological Control - Predatory Insects,Early Spring,Carrot,24C,Rare,FarmGrow Inc.,Summer,129km,97%
460,Saline,Organic,Temperate,61,Chemical Control - Organic Pesticides,Early Summer,Carrot,26C,Medium,FarmGrow Inc.,Summer,130km,92%
461,Sandy,Compost,Arid,60,Chemical Control - Synthetic Pesticides,Autumn,Corn,23C,Well-Done,GreenFields,Summer,132km,32%
462,Loamy,Compost,Temperate,67,Chemical Control - Organic Pesticides,Late Spring,Potato,34C,Medium-Rare,CropLife Solutions,Autumn,130km,51%
463,Loamy,Organic,Temperate,63,Biological Control - Predatory Insects,Late Spring,Wheat,22C,Medium-Well,AgriSeeds Co.,Summer,131km,52%
464,Clay,Compost,Temperate,83,Integrated Pest Management,Late Summer,Carrot,25C,Rare,GreenFields,Winter,129km,67%
465,Saline,Compost,Tropical,60,Chemical Control - Organic Pesticides,Early Spring,Carrot,32C,Medium-Rare,FarmGrow Inc.,Spring,132km,55%
466,Clay,Compost,Temperate,66,Chemical Control - Organic Pesticides,Winter,Corn,32C,Medium-Well,AgriSeeds Co.,Winter,130km,53%
467,Saline,Chemical,Tropical,62,Integrated Pest Management,Early Spring,Wheat,29C,Medium-Rare,CropLife Solutions,Winter,128km,81%
468,Clay,Organic,Tropical,65,Integrated Pest Management,Late Summer,Corn,24C,Overdone,AgriSeeds Co.,Spring,134km,71%
469,Sandy,Compost,Arid,66,Biological Control - Predatory Insects,Early Spring,Tomato,34C,Medium-Rare,CropLife Solutions,Winter,129km,94%
470,Loamy,Organic,Arid,71,Biological Control - Predatory Insects,Early Summer,Tomato,24C,Medium,CropLife Solutions,Spring,133km,40%
471,Clay,Chemical,Tropical,79,Biological Control - Predatory Insects,Early Summer,Potato,21C,Well-Done,AgriSeeds Co.,Autumn,134km,52%
472,Loamy,Compost,Tropical,80,Integrated Pest Management,Autumn,Potato,21C,Overdone,FarmGrow Inc.,Summer,130km,99%
473,Loamy,Chemical,Arid,76,Integrated Pest Management,Late Summer,Tomato,25C,Medium-Rare,AgriSeeds Co.,Autumn,131km,42%
474,Saline,Compost,Temperate,85,Integrated Pest Management,Autumn,Tomato,21C,Well-Done,AgriSeeds Co.,Winter,133km,72%
475,Loamy,Organic,Arid,73,Biological Control - Predatory Insects,Early Spring,Tomato,23C,Overdone,GreenFields,Summer,132km,66%
476,Saline,Organic,Temperate,73,Biological Control - Predatory Insects,Early Spring,Lettuce,25C,Medium,FarmGrow Inc.,Winter,130km,86%
477,Loamy,Chemical,Temperate,73,Biological Control - Predatory Insects,Late Summer,Corn,34C,Medium-Rare,GreenFields,Autumn,133km,43%
478,Saline,Compost,Temperate,73,Chemical Control - Organic Pesticides,Late Spring,Lettuce,26C,Well-Done,GreenFields,Spring,133km,65%
479,Clay,Chemical,Tropical,80,Chemical Control - Synthetic Pesticides,Autumn,Tomato,29C,Rare,AgriSeeds Co.,Summer,131km,26%
480,Saline,Organic,Tropical,81,Integrated Pest Management,Early Summer,Carrot,24C,Rare,AgriSeeds Co.,Summer,131km,95%
481,Saline,Organic,Temperate,70,Integrated Pest Management,Winter,Carrot,27C,Overdone,FarmGrow Inc.,Autumn,128km,83%
482,Sandy,Organic,Tropical,80,Integrated Pest Management,Winter,Potato,32C,Medium,AgriSeeds Co.,Winter,132km,66%
483,Saline,Compost,Arid,77,Chemical Control - Organic Pesticides,Late Summer,Lettuce,33C,Medium-Rare,GreenFields,Autumn,134km,67%
484,Sandy,Compost,Tropical,64,Integrated Pest Management,Autumn,Corn,21C,Medium,AgriSeeds Co.,Winter,132km,25%
485,Sandy,Organic,Tropical,61,Chemical Control - Organic Pesticides,Autumn,Wheat,22C,Rare,FarmGrow Inc.,Autumn,128km,49%
486,Loamy,Compost,Temperate,63,Chemical Control - Synthetic Pesticides,Autumn,Carrot,31C,Rare,GreenFields,Winter,128km,55%
487,Saline,Chemical,Temperate,81,Chemical Control - Synthetic Pesticides,Late Summer,Tomato,28C,Well-Done,CropLife Solutions,Spring,133km,95%
488,Sandy,Organic,Tropical,67,Chemical Control - Synthetic Pesticides,Early Spring,Wheat,25C,Well-Done,FarmGrow Inc.,Autumn,128km,77%
489,Clay,Compost,Tropical,82,Chemical Control - Synthetic Pesticides,Autumn,Carrot,27C,Rare,GreenFields,Spring,128km,100%
490,Sandy,Chemical,Tropical,60,Chemical Control - Synthetic Pesticides,Autumn,Potato,25C,Medium-Rare,GreenFields,Summer,132km,60%
491,Saline,Chemical,Temperate,66,Integrated Pest Management,Early Spring,Lettuce,26C,Rare,AgriSeeds Co.,Winter,129km,53%
492,Saline,Chemical,Temperate,61,Chemical Control - Synthetic Pesticides,Early Spring,Lettuce,29C,Overdone,AgriSeeds Co.,Autumn,133km,80%
493,Clay,Organic,Arid,84,Chemical Control - Synthetic Pesticides,Early Summer,Carrot,31C,Overdone,FarmGrow Inc.,Autumn,132km,23%
494,Sandy,Chemical,Temperate,85,Biological Control - Predatory Insects,Early Summer,Wheat,29C,Medium,AgriSeeds Co.,Winter,131km,58%
495,Saline,Compost,Arid,68,Integrated Pest Management,Early Spring,Potato,21C,Medium-Rare,CropLife Solutions,Winter,134km,33%
496,Clay,Organic,Arid,63,Integrated Pest Management,Late Summer,Carrot,25C,Well-Done,GreenFields,Autumn,134km,56%
497,Loamy,Organic,Tropical,85,Chemical Control - Organic Pesticides,Late Spring,Tomato,20C,Well-Done,GreenFields,Autumn,129km,59%
498,Saline,Compost,Arid,76,Integrated Pest Management,Winter,Lettuce,23C,Overdone,GreenFields,Autumn,133km,73%
499,Loamy,Chemical,Tropical,67,Biological Control - Predatory Insects,Winter,Carrot,25C,Medium-Well,FarmGrow Inc.,Spring,129km,46%
500,Sandy,Compost,Tropical,78,Chemical Control - Organic Pesticides,Winter,Carrot,34C,Rare,AgriSeeds Co.,Spring,130km,75%
